category,payment_gateway,image,title,conntent
PEMBAYARAN INSTAN,Jenius,https://payment.tiketux.com/image/payment_v2/jenius-3.png,CARA PEMBAYARAN MENGGUNAKAN Jenius,"<li>
                               Anda harus terdaftar sebagai pengguna <b>Jenius</b> dan memiliki aplikasi <b>Jenius</b> pada smartphone anda. 
                              </li>
                                                            <li>
                               Aplikasi <b>Jenius</b> dapat diunduh di Apple Store / Google Play Store 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran <b>Jenius.</b> 
                              </li>
                                                            <li>
                               Masukkan <b>$Cashtag</b> lalu tekan tombol <b>BAYAR</b> 
                              </li>
                                                            <li>
                               Klik Notifikasi dari Jenius atau Buka Aplikasi Jenius, pilih menu Notifikasi Center di pojok kanan atas dengan logo Lonceng 
                              </li>
                                                            <li>
                               Cek informasi permintaan pembayaran, pastikan sudah benar. 
                              </li>
                                                            <li>
                               Kemudian Klik ‘Bayar’ dan selesaikan pembayaran di Aplikasi Jenius 
                              </li>
                                                            <li>
                               Transaksi selesai. 
                              </li>"
PEMBAYARAN INSTAN,GOPAY,https://payment.tiketux.com/image/payment_v2/gopay.png,CARA PEMBAYARAN MENGGUNAKAN GOPAY,"<li>
                               Anda harus terdaftar sebagai pengguna GoPay dan memiliki aplikasi Gojek pada smartphone Anda. 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran GoPay. 
                              </li>
                                                            <li>
                               Anda bisa melakukan pembayaran dengan Scan QR atau direct langsung melalui aplikasi Gojek 
                              </li>
                                                            <li>
                               Jika melalui Scan QR 
                              </li>
                                                            <li>
                               Buka Aplikasi Gojek di smartphone Anda. lalu tekan tombol Bayar 
                              </li>
                                                            <li>
                               Arahkan kamera anda pada Kode QR yang tertera pada halaman pembayaran. 
                              </li>
                                                            <li>
                               Periksa kembali detail pembayaran Anda di aplikasi Gojek dan tekan tombol <b>Pay</b> atau <b>Konfirmasi &amp; Bayar</b>. 
                              </li>
                                                            <li>
                               Transaksi selesai. 
                              </li>
                                                            <li>
                               Jika Melalui direct langsung aplikasi Gojek 
                              </li>
                                                            <li>
                               tekan tombol <b>Go To GoPay Apps</b> di bawah Kode QR yang tertera di halaman pembayaran 
                              </li>
                                                            <li>
                               Maka anda akan langsung di alikan ke Aplikasi Gojek 
                              </li>
                                                            <li>
                               Periksa kembali detail pembayaran Anda di aplikasi Gojek dan tekan tombol <b>Pay</b> atau <b>Konfirmasi &amp; Bayar</b>. 
                              </li>
                                                            <li>
                               Transaksi selesai. 
                              </li>"
PEMBAYARAN INSTAN,OCTO Clicks,https://payment.tiketux.com/image/payment_v2/octo-clicks.png,CARA PEMBAYARAN MENGGUNAKAN OCTO Clicks,"<li>
                               Anda harus terdaftar sebagai pengguna OCTO Clicks. 
                              </li>
                                                            <li>
                               anda akan diarahkan ke halaman OCTO Clicks. 
                              </li>
                                                            <li>
                               Pastikan Nama dan Jumlah bayar yang tertera sesuai dengan pemesan anda. 
                              </li>
                                                            <li>
                               Pembayaran dapat dilakukan melalui OCTO Clicks (OTP) atau OCTO Mobile (QR Code). 
                              </li>
                                                            <li>
                               Apabila Anda memilih melakukan pembayaran melalui OCTO Clicks (OTP) 
                              </li>
                                                            <li>
                               Pastikan rekening sumber dana yang akan digunakan sudah tepat dan benar. Periksa Kode Transaksi dan jumlah pembayaran lalu klik tombol “send SMS”. 
                              </li>
                                                            <li>
                               Melalui SMS ke nomor handphone Anda, OCTO Clicks akan mengirimkan kode OTP (One Time Password). 
                              </li>
                                                            <li>
                               Pastikan nomor handphone Anda sudah terdaftar di OCTO Clicks. Masukkan kode OTP tersebut pada kolom yang disediakan. Klik tombol “Pay“ 
                              </li>
                                                            <li>
                               Transaksi berhasil. 
                              </li>
                                                            <li>
                               Apabila Anda memilih melakukan pembayaran melalui OCTO Mobile (QR Code) 
                              </li>
                                                            <li>
                               Login ke aplikasi OCTO Mobile Anda. 
                              </li>
                                                            <li>
                               Pilih menu “QR” lalu tekan “Scan”. 
                              </li>
                                                            <li>
                               Scan QR yang tertera di layar lalu konfirmasi pembelian Anda dengan OCTO Mobile PIN. 
                              </li>
                                                            <li>
                               Transaksi berhasil. 
                              </li>"
PEMBAYARAN INSTAN,Ovo,https://payment.tiketux.com/image/payment_v2/icon_ovo.png,CARA PEMBAYARAN MENGGUNAKAN Ovo,"<li>
                               Anda harus terdaftar sebagai pengguna <b>OVO</b> dan memiliki aplikasi <b>OVO</b> pada smartphone anda 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran <b>OVO</b> 
                              </li>
                                                            <li>
                               Masukan nomer telepon yang anda daftarkan pada applikasi <b>OVO</b> anda kemudian klik <b>PAY</b> 
                              </li>
                                                            <li>
                               Lalu buka Aplikasi <b>OVO</b> anda dari Smarphone anda. 
                              </li>
                                                            <li>
                               Kemudian pilih Notifikasi pada aplikasi <b>OVO</b> anda untuk menyelesaikan pembayaran nya ( Waktu pembayaran dengan <b>OVO</b> hanya 1 menit, dan disarankan untuk melakukan pembayaran dengan segera). 
                              </li>
                                                            <li>
                               Transaksi Selesai 
                              </li>"
PEMBAYARAN INSTAN,Shopeepay,https://payment.tiketux.com/image/payment_v2/shopeepay.png,CARA PEMBAYARAN MENGGUNAKAN Shopeepay,"<li>
                               Anda harus terdaftar sebagai pengguna <b>ShopeePay</b>. 
                              </li>
                                                            <li>
                               Setelah menyetujui Syarat &amp; Ketentuan dan Anda menekan tombol “Proses Selanjutnya“ maka Anda akan diarahkan ke halaman pembayaran <b>Shopeepay</b> 
                              </li>
                                                            <li>
                               Jika Anda ingin melakukan pembayaran melalui <b>SCAN QR</b> 
                              </li>
                                                            <li>
                               Buka aplikasi <b>Shopee</b> pada smartphone anda. 
                              </li>
                                                            <li>
                               Tekan <b>Icon Scan QR</b>. 
                              </li>
                                                            <li>
                               Arahkan kamera anda pada <b>Kode QR</b> yang tertera pada halaman pembayaran. 
                              </li>
                                                            <li>
                               Periksa kembali detail pembayaran Anda di aplikasi <b>Shopee</b> dan tekan tombol <b>Bayar</b>. 
                              </li>
                                                            <li>
                               Transaksi selesai. 
                              </li>
                                                            <li>
                               Atau jika Anda ingin melakukan pembayaran dengan langsung diarahkan ke Aplikasi <b>Shopee</b> pada Smartphone anda 
                              </li>
                                                            <li>
                               Tekan Tombol “GO TO <b>ShopeePay</b> APPS“ pada halaman pembayaran. Maka anda akan langsung di arahkan ke aplikasi <b>Shopee</b> pada Smartphone anda 
                              </li>
                                                            <li>
                               Periksa kembali detail pembayaran Anda di aplikasi <b>Shopee</b> dan tekan tombol <b>Bayar</b>. 
                              </li>
                                                            <li>
                               Transaksi selesai. 
                              </li>"
PEMBAYARAN INSTAN,Kartu Kredit,https://payment.tiketux.com/image/payment_v2/fincc.png,CARA PEMBAYARAN MENGGUNAKAN Kartu Kredit,"<li>
                               Anda harus sebagai pengguna aktif kartu kredit Visa atau MasterCard. 
                              </li>
                                                            <li>
                               Setelah menyetujui Syarat &amp; Ketentuan dan anda menekan tombol ""Proses Selanjutnya"" maka anda akan diarahkan ke halaman pembayaran kartu kredit. 
                              </li>
                                                            <li>
                               Isikan data yang diminta, lakukan segera pembayaran, karena anda hanya memiliki tenggang waktu 50 menit untuk melakukan pembayaran. 
                              </li>
                                                            <li>
                               Pastikan Nama dan Jumlah bayar yang tertera sesuai dengan pemesan anda. 
                              </li>
                                                            <li>
                               Jika pembayaran telah berhasil, Anda akan mendapatkan informasi tersebut melalui SMS dan Email dari Tiketux sebagai bukti Anda telah melakukan pembayaran tiket. 
                              </li>"
PEMBAYARAN INSTAN,Dana,https://payment.tiketux.com/image/payment_v2/dana.png,CARA PEMBAYARAN MENGGUNAKAN Dana,"<li>
                               Anda harus terdaftar sebagai pengguna <b>DANA</b> 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran <b>DANA</b> 
                              </li>
                                                            <li>
                               Masukan nomer telepon dan masukan pin <b>DANA</b> anda 
                              </li>
                                                            <li>
                               lalu periksa sms di handphone Anda dan masukan kode verifikasi 
                              </li>
                                                            <li>
                               Periksa transaksi Anda dan pilih Payment Method <b>DANA Balance</b> 
                              </li>
                                                            <li>
                               Lalu klik <b>PAY</b> 
                              </li>
                                                            <li>
                               Transaksi Selesai 
                              </li>"
PEMBAYARAN INSTAN,Link Aja,https://payment.tiketux.com/image/payment_v2/linkaja.png,CARA PEMBAYARAN MENGGUNAKAN Link Aja,"<li>
                               Anda harus terdaftar sebagai pengguna <b>Link Aja</b>. 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran <b>Link Aja</b> 
                              </li>
                                                            <li>
                               Pastikan jumlah pembayaran dan pesanan anda, kemudian masukan nomor dan pin Link Aja. 
                              </li>
                                                            <li>
                               Setelah itu anda akan menerima OTP melalui sms yang digunakan untuk transaksi anda. 
                              </li>
                                                            <li>
                               Transaksi Selesai 
                              </li>"
PAYLATER,Indodana,https://payment.tiketux.com/image/payment_v2/indodana.png,CARA PEMBAYARAN MENGGUNAKAN Indodana,"<li>
                               Anda harus terdaftar sebagai pengguna <b>Indona</b> 
                              </li>
                                                            <li>
                               Anda akan diarahkan ke halaman pembayaran <b>Indodana</b> 
                              </li>
                                                            <li>
                               Masukan nomer telepon dan masukan pin <b>Indodana</b> Anda 
                              </li>
                                                            <li>
                               Periksa detail transaksi Anda 
                              </li>
                                                            <li>
                               Lalu klik <b>BAYAR</b> 
                              </li>
                                                            <li>
                               Masukan pin <b>Indodana</b> Anda 
                              </li>
                                                            <li>
                               Transaksi Selesai 
                              </li>"
VIRTUAL ACCOUNT,BCA Virtual Account,https://payment.tiketux.com/image/payment_v2/bca-va.png,CARA PEMBAYARAN MENGGUNAKAN BCA Virtual Account,"<li>
                               Pembayaran dapat dilakukan melalui <b>ATM ,Mobile Banking atau Internet Banking BCA</b>. 
                              </li>
                                                            <li>
                               Setelah menyetujui Syarat &amp; Ketentuan dan mengklik tombol ""Proses Selanjutnya"", Anda akan mendapatkan <b>Nomor Virtual Account</b>. 
                              </li>
                                                            <li>
                               Catat <b>Nomor Virtual Account</b> dan <b>Nominal</b> yang tertera. 
                              </li>
                                                            <li>
                               Silahkan lihat panduan pembayaran menggunakan ATM, Mobile Banking atau Internet Banking. 
                              </li>
                                                                                                                           ATM
                                                              <ul>
                                 <li>
                                   Pilih Menu Transaksi Lainnya 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Transfer 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Ke rekening BCA Virtual Account. 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Input Nomor Virtual Account, misal. 123456789012XXXX 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Benar 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Ya 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Ambil bukti bayar anda 
                                 </li>
                               </ul>
                                                             
                                                               Mobile Banking
                                                              <ul>
                                 <li>
                                   Login Mobile Banking 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih m-Transfer &gt; BCA Virtual Account. 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Masukkan nomor Virtual Account, contoh: 123XXXXXX dan pilih <b>Send.</b> 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Periksa informasi yang tertera di layar. Pastikan informasi dan total tagihan sudah benar. Jika benar pilih <b>Ya.</b> 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Masukkan PIN m-BCA Anda dan pilih OK. 
                                 </li>
                               </ul>
                                                             
                                                               Internet Banking
                                                              <ul>
                                 <li>
                                   Login Internet Banking. 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Transfer Dana 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Pilih Transfer Ke BCA Virtual Account 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Input Nomor Virtual Account, misal. 123456789012XXXX 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Klik Lanjutkan 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Input Respon KeyBCA Appli 1 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Klik Kirim 
                                 </li>
                               </ul>
                                                              <ul>
                                 <li>
                                   Bukti bayar ditampilkan 
                                 </li>
                               </ul>"
